"SiglaEmpresa";"NumeroVoo";"DI";"TipoLinha";"AeroportoOrigem";"AeroportoDestino";"PartidaPrevista";"PartidaReal";"ChegadaPrevista";"ChegadaReal";"Situacao";"Justificativa"
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"26/12/2014 02:30";"26/12/2014 02:30";"26/12/2014 05:57";"26/12/2014 05:57";"Realizado";"  "
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"17/12/2014 02:30";"  ";"17/12/2014 05:57";"  ";"Cancelado";"XN"
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"03/12/2014 02:30";"  ";"03/12/2014 05:57";"  ";"Cancelado";"XN"
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"30/12/2014 02:30";"30/12/2014 02:30";"30/12/2014 05:57";"30/12/2014 05:57";"Realizado";"  "
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"31/12/2014 02:30";"  ";"31/12/2014 05:57";"  ";"Cancelado";"XN"
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"11/12/2014 02:30";"11/12/2014 02:30";"11/12/2014 05:57";"11/12/2014 05:57";"Realizado";"  "
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"02/12/2014 02:30";"02/12/2014 02:30";"02/12/2014 05:57";"02/12/2014 05:57";"Realizado";"  "
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"25/12/2014 02:30";"  ";"25/12/2014 05:57";"  ";"Cancelado";"XA"
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"09/12/2014 02:30";"09/12/2014 02:30";"09/12/2014 05:57";"09/12/2014 05:57";"Realizado";"  "
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"05/12/2014 02:30";"05/12/2014 02:30";"05/12/2014 05:57";"05/12/2014 05:57";"Realizado";"  "
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"27/12/2014 02:30";"27/12/2014 02:30";"27/12/2014 05:57";"27/12/2014 05:57";"Realizado";"  "
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"24/12/2014 02:30";"  ";"24/12/2014 05:57";"  ";"Cancelado";"XN"
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"12/12/2014 02:30";"12/12/2014 02:30";"12/12/2014 05:57";"12/12/2014 05:57";"Realizado";"  "
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"13/12/2014 02:30";"13/12/2014 02:30";"13/12/2014 05:57";"13/12/2014 05:57";"Realizado";"  "
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"10/12/2014 02:30";"  ";"10/12/2014 05:57";"  ";"Cancelado";"XN"
"GLO";" 1833";"0";"N";"SBSL";"SBGL";"01/12/2014 02:30";"01/12/2014 02:30";"01/12/2014 05:57";"01/12/2014 05:57";"Realizado";"  "
"AZU";" 2745";"0";"N";"SBFZ";"SBCF";"15/12/2014 03:05";"15/12/2014 02:53";"15/12/2014 05:58";"15/12/2014 05:42";"Realizado";"HD"
"AZU";" 2745";"0";"N";"SBFZ";"SBCF";"19/12/2014 03:05";"19/12/2014 02:51";"19/12/2014 05:58";"19/12/2014 05:40";"Realizado";"HD"
"AZU";" 2745";"0";"N";"SBFZ";"SBCF";"29/12/2014 03:05";"29/12/2014 02:53";"29/12/2014 05:58";"29/12/2014 05:37";"Realizado";"HD"
"AZU";" 2745";"0";"N";"SBFZ";"SBCF";"20/12/2014 03:05";"20/12/2014 02:52";"20/12/2014 05:58";"20/12/2014 05:37";"Realizado";"HD"
"AZU";" 2745";"0";"N";"SBFZ";"SBCF";"24/12/2014 03:05";"24/12/2014 02:47";"24/12/2014 05:58";"24/12/2014 05:36";"Realizado";"HD"
"AZU";" 2745";"0";"N";"SBFZ";"SBCF";"31/12/2014 03:05";"31/12/2014 02:53";"31/12/2014 05:58";"31/12/2014 05:32";"Realizado";"HD"
"AZU";" 2745";"0";"N";"SBFZ";"SBCF";"03/12/2014 03:05";"03/12/2014 02:55";"03/12/2014 05:58";"03/12/2014 05:27";"Realizado";"HD"
"AZU";" 2745";"0";"N";"SBFZ";"SBCF";"16/12/2014 03:05";"16/12/2014 02:57";"16/12/2014 05:58";"16/12/2014 06:17";"Realizado";"AT"
"AZU";" 2745";"0";"R";"SBFZ";"SBCF";"26/12/2014 03:05";"  ";"26/12/2014 05:58";"  ";"Cancelado";"XN"
"CMP";" 0244";"0";"I";"MPTO";"SLVR";"22/12/2014 00:52";"22/12/2014 00:52";"22/12/2014 05:58";"22/12/2014 05:58";"Realizado";"  "
"CMP";" 0244";"0";"I";"MPTO";"SLVR";"15/12/2014 00:52";"15/12/2014 00:52";"15/12/2014 05:58";"15/12/2014 05:58";"Realizado";"  "
"AZU";" 2745";"0";"R";"SBFZ";"SBCF";"22/12/2014 03:05";"22/12/2014 03:05";"22/12/2014 05:58";"22/12/2014 05:58";"Realizado";"  "
"AZU";" 2745";"0";"R";"SBFZ";"SBCF";"17/12/2014 03:05";"17/12/2014 03:05";"17/12/2014 05:58";"17/12/2014 05:58";"Realizado";"  "
"AZU";" 2745";"0";"R";"SBFZ";"SBCF";"18/12/2014 03:05";"18/12/2014 03:05";"18/12/2014 05:58";"18/12/2014 05:58";"Realizado";"  "
"CMP";" 0244";"0";"I";"MPTO";"SLVR";"18/12/2014 00:52";"18/12/2014 00:52";"18/12/2014 05:58";"18/12/2014 05:58";"Realizado";"  "
"AZU";" 2745";"0";"R";"SBFZ";"SBCF";"30/12/2014 03:05";"30/12/2014 03:05";"30/12/2014 05:58";"30/12/2014 05:58";"Realizado";"  "
"CMP";" 0244";"0";"I";"MPTO";"SLVR";"30/12/2014 00:52";"30/12/2014 00:52";"30/12/2014 05:58";"30/12/2014 05:58";"Realizado";"  "
"AZU";" 2745";"0";"R";"SBFZ";"SBCF";"06/12/2014 03:05";"06/12/2014 03:05";"06/12/2014 05:58";"06/12/2014 05:58";"Realizado";"  "
"CMP";" 0244";"0";"I";"MPTO";"SLVR";"29/12/2014 00:52";"29/12/2014 00:52";"29/12/2014 05:58";"29/12/2014 05:58";"Realizado";"  "
"CMP";" 0244";"0";"I";"MPTO";"SLVR";"11/12/2014 00:52";"11/12/2014 00:52";"11/12/2014 05:58";"11/12/2014 05:58";"Realizado";"  "
"CMP";" 0244";"0";"I";"MPTO";"SLVR";"06/12/2014 00:52";"06/12/2014 00:52";"06/12/2014 05:58";"06/12/2014 05:58";"Realizado";"  "
"AZU";" 2745";"0";"R";"SBFZ";"SBCF";"11/12/2014 03:05";"11/12/2014 03:05";"11/12/2014 05:58";"11/12/2014 05:58";"Realizado";"  "
"CMP";" 0244";"0";"I";"MPTO";"SLVR";"09/12/2014 00:52";"09/12/2014 00:52";"09/12/2014 05:58";"09/12/2014 05:58";"Realizado";"  "
"CMP";" 0244";"0";"I";"MPTO";"SLVR";"25/12/2014 00:52";"25/12/2014 00:52";"25/12/2014 05:58";"25/12/2014 05:58";"Realizado";"  "
"CMP";" 0244";"0";"I";"MPTO";"SLVR";"20/12/2014 00:52";"20/12/2014 00:52";"20/12/2014 05:58";"20/12/2014 05:58";"Realizado";"  "
"AZU";" 2745";"0";"R";"SBFZ";"SBCF";"09/12/2014 03:05";"09/12/2014 03:05";"09/12/2014 05:58";"09/12/2014 05:58";"Realizado";"  "
"AZU";" 2745";"0";"R";"SBFZ";"SBCF";"05/12/2014 03:05";"05/12/2014 03:05";"05/12/2014 05:58";"05/12/2014 05:58";"Realizado";"  "
"AZU";" 2745";"0";"R";"SBFZ";"SBCF";"25/12/2014 03:05";"25/12/2014 03:05";"25/12/2014 05:58";"25/12/2014 05:58";"Realizado";"  "
"AZU";" 2745";"0";"R";"SBFZ";"SBCF";"02/12/2014 03:05";"02/12/2014 03:05";"02/12/2014 05:58";"02/12/2014 05:58";"Realizado";"  "
"CMP";" 0244";"0";"I";"MPTO";"SLVR";"04/12/2014 00:52";"04/12/2014 00:52";"04/12/2014 05:58";"04/12/2014 05:58";"Realizado";"  "
"AZU";" 2745";"0";"R";"SBFZ";"SBCF";"27/12/2014 03:05";"27/12/2014 03:05";"27/12/2014 05:58";"27/12/2014 05:58";"Realizado";"  "
"AZU";" 2745";"0";"R";"SBFZ";"SBCF";"04/12/2014 03:05";"04/12/2014 03:05";"04/12/2014 05:58";"04/12/2014 05:58";"Realizado";"  "
"CMP";" 0244";"0";"I";"MPTO";"SLVR";"27/12/2014 00:52";"27/12/2014 00:52";"27/12/2014 05:58";"27/12/2014 05:58";"Realizado";"  "
"CMP";" 0244";"0";"I";"MPTO";"SLVR";"13/12/2014 00:52";"13/12/2014 00:52";"13/12/2014 05:58";"13/12/2014 05:58";"Realizado";"  "
"AZU";" 2745";"0";"R";"SBFZ";"SBCF";"13/12/2014 03:05";"13/12/2014 03:05";"13/12/2014 05:58";"13/12/2014 05:58";"Realizado";"  "
"AZU";" 2745";"0";"R";"SBFZ";"SBCF";"10/12/2014 03:05";"10/12/2014 03:05";"10/12/2014 05:58";"10/12/2014 05:58";"Realizado";"  "
"AZU";" 2745";"0";"R";"SBFZ";"SBCF";"23/12/2014 03:05";"23/12/2014 03:05";"23/12/2014 05:58";"23/12/2014 05:58";"Realizado";"  "
"CMP";" 0244";"0";"I";"MPTO";"SLVR";"23/12/2014 00:52";"23/12/2014 00:52";"23/12/2014 05:58";"23/12/2014 05:58";"Realizado";"  "
"AZU";" 2745";"0";"R";"SBFZ";"SBCF";"01/12/2014 03:05";"01/12/2014 03:05";"01/12/2014 05:58";"01/12/2014 05:58";"Realizado";"  "
"CMP";" 0244";"0";"I";"MPTO";"SLVR";"16/12/2014 00:52";"16/12/2014 00:52";"16/12/2014 05:58";"16/12/2014 05:58";"Realizado";"  "
"AZU";" 2745";"0";"R";"SBFZ";"SBCF";"08/12/2014 03:05";"08/12/2014 03:05";"08/12/2014 05:58";"08/12/2014 05:58";"Realizado";"  "
"CMP";" 0244";"0";"I";"MPTO";"SLVR";"08/12/2014 00:52";"08/12/2014 00:52";"08/12/2014 05:58";"08/12/2014 05:58";"Realizado";"  "
"AZU";" 2745";"0";"N";"SBFZ";"SBCF";"12/12/2014 03:05";"12/12/2014 02:53";"12/12/2014 05:58";"12/12/2014 05:50";"Realizado";"HD"
"TUS";" 8476";"0";"G";"SKBO";"KMIA";"28/12/2014 04:30";"27/12/2014 14:44";"28/12/2014 06:00";"27/12/2014 18:35";"Realizado";"HI"
